number,title,members,connections
1,Moving to the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
2,The Beginning of Something New Or...,Tecchan;Masato;Shota;Seina;Momoko;Rie,
3,Nobody Knows the Way She Feels,Tecchan;Masato;Shota;Seina;Momoko;Rie,
4,Thank You for Being Here,Tecchan;Masato;Shota;Seina;Momoko;Rie,
5,It's Never Too Late to Start,Tecchan;Masato;Shota;Seina;Momoko;Rie,
6,Puppy Love,Tecchan;Masato;Shota;Seina;Momoko;Rie,
7,The One She Truly Longs For...?,Tecchan;Masato;Shota;Seina;Momoko;Rie,
8,Disharmony in the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
9,Playtime Is Over,Tecchan;Masato;Shota;Seina;Momoko;Rie,
10,The Decisions,Tecchan;Masato;Shota;Seina;Momoko;Rie,
11,Getting Back Up Again,Tecchan;Masato;Shota;Seina;Momoko;Rie,
12,Moving Out of the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
13,Special Edition,Tecchan;Shota;Seina;Momoko,
14,The Girl Has Come,Tecchan;Shota;Seina;Momoko;Hana,
15,A Snowy Goodbye,Tecchan;Shota;Seina;Momoko;Hana,
16,Hungry for Love,Tecchan;Seina;Momoko;Hana;Daiki,
17,The Truth Behind the Tears,Tecchan;Seina;Momoko;Hana;Daiki,
18,Declaration of Love,Tecchan;Seina;Momoko;Hana;Daiki,
19,No Sweet Valentine,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
20,Crushes Have No Limits,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
21,Two Love Triangles,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
22,More Than Just Friends,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
23,His Final Choice,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
24,Showdown,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
25,Kiss Kiss Kiss...,Tecchan;Seina;Momoko;Hana;Daiki;Ouji,
26,Brand New Terrace House,Tecchan;Seina;Hana;Daiki;Ouji,
27,Babyfaced Foxy Girl,Tecchan;Seina;Hana;Daiki;Ouji;Aya,
28,He's Back Again,Tecchan;Seina;Hana;Daiki;Ouji;Aya,
29,Sudden Goodbye,Tecchan;Seina;Hana;Daiki;Ouji;Aya;Miwako,
30,"Losing Love, Finding Love",Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
31,One-Sided Love,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
32,Lost Passion,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
33,Forbidden Love,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
34,Sugar & Spice,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
35,I've Been Waiting,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
36,The Night of Confession,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
37,Just the Way You Are,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
38,The Decision of a 19-Year-Old,Tecchan;Hana;Daiki;Ouji;Aya;Miwako,
